Object: earth
Mass: object.mass
Position History (x,y,z) au

X = 0.86  Y = -0.54  Z = 0.0
X = 0.86  Y = -0.53  Z = 0.0
X = 0.86  Y = -0.52  Z = 0.0
X = 0.87  Y = -0.52  Z = 0.0
X = 0.87  Y = -0.51  Z = 0.0
X = 0.87  Y = -0.51  Z = 0.0
X = 0.88  Y = -0.5  Z = 0.0
X = 0.88  Y = -0.49  Z = 0.0
X = 0.88  Y = -0.49  Z = 0.0
X = 0.89  Y = -0.48  Z = 0.0
X = 0.89  Y = -0.47  Z = 0.0
X = 0.89  Y = -0.47  Z = 0.0
X = 0.9  Y = -0.46  Z = 0.0
X = 0.9  Y = -0.46  Z = 0.0
X = 0.9  Y = -0.45  Z = 0.0
X = 0.91  Y = -0.44  Z = 0.0
X = 0.91  Y = -0.44  Z = 0.0
X = 0.91  Y = -0.43  Z = 0.0
X = 0.92  Y = -0.42  Z = 0.0
X = 0.92  Y = -0.42  Z = 0.0
X = 0.92  Y = -0.41  Z = 0.0
X = 0.92  Y = -0.4  Z = 0.0
X = 0.93  Y = -0.4  Z = 0.0
X = 0.93  Y = -0.39  Z = 0.0
X = 0.93  Y = -0.38  Z = 0.0
X = 0.93  Y = -0.38  Z = 0.0
X = 0.94  Y = -0.37  Z = 0.0
X = 0.94  Y = -0.36  Z = 0.0
X = 0.94  Y = -0.36  Z = 0.0
X = 0.94  Y = -0.35  Z = 0.0
X = 0.95  Y = -0.34  Z = 0.0
X = 0.95  Y = -0.34  Z = 0.0
X = 0.95  Y = -0.33  Z = 0.0
X = 0.95  Y = -0.32  Z = 0.0
X = 0.96  Y = -0.32  Z = 0.0
X = 0.96  Y = -0.31  Z = 0.0
X = 0.96  Y = -0.3  Z = 0.0
X = 0.96  Y = -0.3  Z = 0.0
X = 0.96  Y = -0.29  Z = 0.0
X = 0.97  Y = -0.28  Z = 0.0
X = 0.97  Y = -0.28  Z = 0.0
X = 0.97  Y = -0.27  Z = 0.0
X = 0.97  Y = -0.26  Z = 0.0
X = 0.97  Y = -0.26  Z = 0.0
X = 0.97  Y = -0.25  Z = 0.0
X = 0.98  Y = -0.24  Z = 0.0
X = 0.98  Y = -0.23  Z = 0.0
X = 0.98  Y = -0.23  Z = 0.0
X = 0.98  Y = -0.22  Z = 0.0
X = 0.98  Y = -0.21  Z = 0.0
X = 0.98  Y = -0.21  Z = 0.0
X = 0.99  Y = -0.2  Z = 0.0
X = 0.99  Y = -0.19  Z = 0.0
X = 0.99  Y = -0.19  Z = 0.0
X = 0.99  Y = -0.18  Z = 0.0
X = 0.99  Y = -0.17  Z = 0.0
X = 0.99  Y = -0.16  Z = 0.0
X = 0.99  Y = -0.16  Z = 0.0
X = 0.99  Y = -0.15  Z = 0.0
X = 0.99  Y = -0.14  Z = 0.0
X = 0.99  Y = -0.14  Z = 0.0
X = 1.0  Y = -0.13  Z = 0.0
X = 1.0  Y = -0.12  Z = 0.0
X = 1.0  Y = -0.12  Z = 0.0
X = 1.0  Y = -0.11  Z = 0.0
X = 1.0  Y = -0.1  Z = 0.0
X = 1.0  Y = -0.09  Z = 0.0
X = 1.0  Y = -0.09  Z = 0.0
X = 1.0  Y = -0.08  Z = 0.0
